!!SBtab TableName='Reaction' TableType='Reaction' Document='Model' SBtabVersion='0.9'					
!ID	!ReactionFormula	!IsReversible	!KineticLaw:Name	!KineticLaw:Formula	
GLUT2	glc_{ext} <=> glc	True	Common saturable (CM)	u_R1 * ( kC_R1 * sqrt( kEQ_R1  * kM_R1_glc_{ext} / kM_R1_glc ) * ( glc_{ext} / kM_R1_glc_{ext} ) - kC_R1 / sqrt( kEQ_R1  * kM_R1_glc_{ext} / kM_R1_glc ) * ( glc / kM_R1_glc ) ) / ( ( 1 + glc_{ext} / kM_R1_glc_{ext} ) + ( 1 + glc / kM_R1_glc ) - 1 )	
FBP1	h2o + fru16bp <=> p + fru6p	True	Common saturable (CM)	u_R16 * ( kC_R16 * sqrt( kEQ_R16  * kM_R16_h2o * kM_R16_fru16bp / kM_R16_p / kM_R16_fru6p ) * ( h2o / kM_R16_h2o ) * ( fru16bp / kM_R16_fru16bp ) - kC_R16 / sqrt( kEQ_R16  * kM_R16_h2o * kM_R16_fru16bp / kM_R16_p / kM_R16_fru6p ) * ( p / kM_R16_p ) * ( fru6p / kM_R16_fru6p ) ) / ( ( 1 + h2o / kM_R16_h2o ) * ( 1 + fru16bp / kM_R16_fru16bp ) + ( 1 + p / kM_R16_p ) * ( 1 + fru6p / kM_R16_fru6p ) - 1 )	
ALD	fru16bp <=> grap + dhap	True	Common saturable (CM)	u_R17 * ( kC_R17 * sqrt( kEQ_R17  * kM_R17_fru16bp / kM_R17_grap / kM_R17_dhap ) * ( fru16bp / kM_R17_fru16bp ) - kC_R17 / sqrt( kEQ_R17  * kM_R17_fru16bp / kM_R17_grap / kM_R17_dhap ) * ( grap / kM_R17_grap ) * ( dhap / kM_R17_dhap ) ) / ( ( 1 + fru16bp / kM_R17_fru16bp ) + ( 1 + grap / kM_R17_grap ) * ( 1 + dhap / kM_R17_dhap ) - 1 )	
TPI	dhap <=> grap	True	Common saturable (CM)	u_R18 * ( kC_R18 * sqrt( kEQ_R18  * kM_R18_dhap / kM_R18_grap ) * ( dhap / kM_R18_dhap ) - kC_R18 / sqrt( kEQ_R18  * kM_R18_dhap / kM_R18_grap ) * ( grap / kM_R18_grap ) ) / ( ( 1 + dhap / kM_R18_dhap ) + ( 1 + grap / kM_R18_grap ) - 1 )	
GAPDH	nad + p + grap <=> nadh + h + bpg13	True	Common saturable (CM)	u_R19 * ( kC_R19 * sqrt( kEQ_R19  * kM_R19_nad * kM_R19_p * kM_R19_grap / kM_R19_nadh / kM_R19_h / kM_R19_bpg13 ) * ( nad / kM_R19_nad ) * ( p / kM_R19_p ) * ( grap / kM_R19_grap ) - kC_R19 / sqrt( kEQ_R19  * kM_R19_nad * kM_R19_p * kM_R19_grap / kM_R19_nadh / kM_R19_h / kM_R19_bpg13 ) * ( nadh / kM_R19_nadh ) * ( h / kM_R19_h ) * ( bpg13 / kM_R19_bpg13 ) ) / ( ( 1 + nad / kM_R19_nad ) * ( 1 + p / kM_R19_p ) * ( 1 + grap / kM_R19_grap ) + ( 1 + nadh / kM_R19_nadh ) * ( 1 + h / kM_R19_h ) * ( 1 + bpg13 / kM_R19_bpg13 ) - 1 )	
PGK	adp + bpg13 <=> atp + pg3	True	Common saturable (CM)	u_R20 * ( kC_R20 * sqrt( kEQ_R20  * kM_R20_adp * kM_R20_bpg13 / kM_R20_atp / kM_R20_pg3 ) * ( adp / kM_R20_adp ) * ( bpg13 / kM_R20_bpg13 ) - kC_R20 / sqrt( kEQ_R20  * kM_R20_adp * kM_R20_bpg13 / kM_R20_atp / kM_R20_pg3 ) * ( atp / kM_R20_atp ) * ( pg3 / kM_R20_pg3 ) ) / ( ( 1 + adp / kM_R20_adp ) * ( 1 + bpg13 / kM_R20_bpg13 ) + ( 1 + atp / kM_R20_atp ) * ( 1 + pg3 / kM_R20_pg3 ) - 1 )	
PGM	pg3 <=> pg2	True	Common saturable (CM)	u_R21 * ( kC_R21 * sqrt( kEQ_R21  * kM_R21_pg3 / kM_R21_pg2 ) * ( pg3 / kM_R21_pg3 ) - kC_R21 / sqrt( kEQ_R21  * kM_R21_pg3 / kM_R21_pg2 ) * ( pg2 / kM_R21_pg2 ) ) / ( ( 1 + pg3 / kM_R21_pg3 ) + ( 1 + pg2 / kM_R21_pg2 ) - 1 )	
EN	pg2 <=> h2o + pep	True	Common saturable (CM)	u_R22 * ( kC_R22 * sqrt( kEQ_R22  * kM_R22_pg2 / kM_R22_h2o / kM_R22_pep ) * ( pg2 / kM_R22_pg2 ) - kC_R22 / sqrt( kEQ_R22  * kM_R22_pg2 / kM_R22_h2o / kM_R22_pep ) * ( h2o / kM_R22_h2o ) * ( pep / kM_R22_pep ) ) / ( ( 1 + pg2 / kM_R22_pg2 ) + ( 1 + h2o / kM_R22_h2o ) * ( 1 + pep / kM_R22_pep ) - 1 )	
PK	adp + pep <=> atp + pyr	True	Common saturable (CM)	u_R23 * ( kC_R23 * sqrt( kEQ_R23  * kM_R23_adp * kM_R23_pep / kM_R23_atp / kM_R23_pyr ) * ( adp / kM_R23_adp ) * ( pep / kM_R23_pep ) - kC_R23 / sqrt( kEQ_R23  * kM_R23_adp * kM_R23_pep / kM_R23_atp / kM_R23_pyr ) * ( atp / kM_R23_atp ) * ( pyr / kM_R23_pyr ) ) / ( ( 1 + adp / kM_R23_adp ) * ( 1 + pep / kM_R23_pep ) + ( 1 + atp / kM_R23_atp ) * ( 1 + pyr / kM_R23_pyr ) - 1 )	
PEPCK	gtp + oaa <=> gdp + co2 + pep	True	Common saturable (CM)	u_R24 * ( kC_R24 * sqrt( kEQ_R24  * kM_R24_gtp * kM_R24_oaa / kM_R24_gdp / kM_R24_co2 / kM_R24_pep ) * ( gtp / kM_R24_gtp ) * ( oaa / kM_R24_oaa ) - kC_R24 / sqrt( kEQ_R24  * kM_R24_gtp * kM_R24_oaa / kM_R24_gdp / kM_R24_co2 / kM_R24_pep ) * ( gdp / kM_R24_gdp ) * ( co2 / kM_R24_co2 ) * ( pep / kM_R24_pep ) ) / ( ( 1 + gtp / kM_R24_gtp ) * ( 1 + oaa / kM_R24_oaa ) + ( 1 + gdp / kM_R24_gdp ) * ( 1 + co2 / kM_R24_co2 ) * ( 1 + pep / kM_R24_pep ) - 1 )	
PEPCK_{mito}	5 oaa_{mito} + 5 gtp_{mito} <=> 5 co2_{mito} + 5 pep_{mito} + 5 gdp_{mito} + 5 nadh_{mito} + 5 nad_{mito} + 5 h_{mito}	True	Common saturable (CM)	u_R25 * ( kC_R25 * sqrt( kEQ_R25  * power( kM_R25_oaa_{mito} , 5 ) * power( kM_R25_gtp_{mito} , 5 ) / power( kM_R25_co2_{mito} , 5 ) / power( kM_R25_pep_{mito} , 5 ) / power( kM_R25_gdp_{mito} , 5 ) / power( kM_R25_nadh_{mito} , 5 ) / power( kM_R25_nad_{mito} , 5 ) / power( kM_R25_h_{mito} , 5 ) ) * power( oaa_{mito} / kM_R25_oaa_{mito} , 5 ) * power( gtp_{mito} / kM_R25_gtp_{mito} , 5 ) - kC_R25 / sqrt( kEQ_R25  * power( kM_R25_oaa_{mito} , 5 ) * power( kM_R25_gtp_{mito} , 5 ) / power( kM_R25_co2_{mito} , 5 ) / power( kM_R25_pep_{mito} , 5 ) / power( kM_R25_gdp_{mito} , 5 ) / power( kM_R25_nadh_{mito} , 5 ) / power( kM_R25_nad_{mito} , 5 ) / power( kM_R25_h_{mito} , 5 ) ) * power( co2_{mito} / kM_R25_co2_{mito} , 5 ) * power( pep_{mito} / kM_R25_pep_{mito} , 5 ) * power( gdp_{mito} / kM_R25_gdp_{mito} , 5 ) * power( nadh_{mito} / kM_R25_nadh_{mito} , 5 ) * power( nad_{mito} / kM_R25_nad_{mito} , 5 ) * power( h_{mito} / kM_R25_h_{mito} , 5 ) ) / ( power( 1 + oaa_{mito} / kM_R25_oaa_{mito} , 5 ) * power( 1 + gtp_{mito} / kM_R25_gtp_{mito} , 5 ) + power( 1 + co2_{mito} / kM_R25_co2_{mito} , 5 ) * power( 1 + pep_{mito} / kM_R25_pep_{mito} , 5 ) * power( 1 + gdp_{mito} / kM_R25_gdp_{mito} , 5 ) * power( 1 + nadh_{mito} / kM_R25_nadh_{mito} , 5 ) * power( 1 + nad_{mito} / kM_R25_nad_{mito} , 5 ) * power( 1 + h_{mito} / kM_R25_h_{mito} , 5 ) - 1 )	
PC	5 co2_{mito} + 5 pyr_{mito} + 5 atp_{mito} <=> 5 p_{mito} + 5 oaa_{mito} + 5 adp_{mito}	True	Common saturable (CM)	u_R26 * ( kC_R26 * sqrt( kEQ_R26  * power( kM_R26_co2_{mito} , 5 ) * power( kM_R26_pyr_{mito} , 5 ) * power( kM_R26_atp_{mito} , 5 ) / power( kM_R26_p_{mito} , 5 ) / power( kM_R26_oaa_{mito} , 5 ) / power( kM_R26_adp_{mito} , 5 ) ) * power( co2_{mito} / kM_R26_co2_{mito} , 5 ) * power( pyr_{mito} / kM_R26_pyr_{mito} , 5 ) * power( atp_{mito} / kM_R26_atp_{mito} , 5 ) - kC_R26 / sqrt( kEQ_R26  * power( kM_R26_co2_{mito} , 5 ) * power( kM_R26_pyr_{mito} , 5 ) * power( kM_R26_atp_{mito} , 5 ) / power( kM_R26_p_{mito} , 5 ) / power( kM_R26_oaa_{mito} , 5 ) / power( kM_R26_adp_{mito} , 5 ) ) * power( p_{mito} / kM_R26_p_{mito} , 5 ) * power( oaa_{mito} / kM_R26_oaa_{mito} , 5 ) * power( adp_{mito} / kM_R26_adp_{mito} , 5 ) ) / ( power( 1 + co2_{mito} / kM_R26_co2_{mito} , 5 ) * power( 1 + pyr_{mito} / kM_R26_pyr_{mito} , 5 ) * power( 1 + atp_{mito} / kM_R26_atp_{mito} , 5 ) + power( 1 + p_{mito} / kM_R26_p_{mito} , 5 ) * power( 1 + oaa_{mito} / kM_R26_oaa_{mito} , 5 ) * power( 1 + adp_{mito} / kM_R26_adp_{mito} , 5 ) - 1 )	
LDH	nadh + h + pyr <=> nad + lac	True	Common saturable (CM)	u_R27 * ( kC_R27 * sqrt( kEQ_R27  * kM_R27_nadh * kM_R27_h * kM_R27_pyr / kM_R27_nad / kM_R27_lac ) * ( nadh / kM_R27_nadh ) * ( h / kM_R27_h ) * ( pyr / kM_R27_pyr ) - kC_R27 / sqrt( kEQ_R27  * kM_R27_nadh * kM_R27_h * kM_R27_pyr / kM_R27_nad / kM_R27_lac ) * ( nad / kM_R27_nad ) * ( lac / kM_R27_lac ) ) / ( ( 1 + nadh / kM_R27_nadh ) * ( 1 + h / kM_R27_h ) * ( 1 + pyr / kM_R27_pyr ) + ( 1 + nad / kM_R27_nad ) * ( 1 + lac / kM_R27_lac ) - 1 )	
LacT	lac_{ext} <=> lac	True	Common saturable (CM)	u_R28 * ( kC_R28 * sqrt( kEQ_R28  * kM_R28_lac_{ext} / kM_R28_lac ) * ( lac_{ext} / kM_R28_lac_{ext} ) - kC_R28 / sqrt( kEQ_R28  * kM_R28_lac_{ext} / kM_R28_lac ) * ( lac / kM_R28_lac ) ) / ( ( 1 + lac_{ext} / kM_R28_lac_{ext} ) + ( 1 + lac / kM_R28_lac ) - 1 )	
PyrT	pyr <=> 5 pyr_{mito}	True	Common saturable (CM)	u_R29 * ( kC_R29 * sqrt( kEQ_R29  * kM_R29_pyr / power( kM_R29_pyr_{mito} , 5 ) ) * ( pyr / kM_R29_pyr ) - kC_R29 / sqrt( kEQ_R29  * kM_R29_pyr / power( kM_R29_pyr_{mito} , 5 ) ) * power( pyr_{mito} / kM_R29_pyr_{mito} , 5 ) ) / ( ( 1 + pyr / kM_R29_pyr ) + power( 1 + pyr_{mito} / kM_R29_pyr_{mito} , 5 ) - 1 )	
PepT	5 pep_{mito} <=> pep	True	Common saturable (CM)	u_R30 * ( kC_R30 * sqrt( kEQ_R30  * power( kM_R30_pep_{mito} , 5 ) / kM_R30_pep ) * power( pep_{mito} / kM_R30_pep_{mito} , 5 ) - kC_R30 / sqrt( kEQ_R30  * power( kM_R30_pep_{mito} , 5 ) / kM_R30_pep ) * ( pep / kM_R30_pep ) ) / ( power( 1 + pep_{mito} / kM_R30_pep_{mito} , 5 ) + ( 1 + pep / kM_R30_pep ) - 1 )	
PDH	5 pyr_{mito} + 5 coa_{mito} + 5 nad_{mito} <=> 5 co2_{mito} + 5 acoa_{mito} + 5 nadh_{mito} + 5 h_{mito}	True	Common saturable (CM)	u_R31 * ( kC_R31 * sqrt( kEQ_R31  * power( kM_R31_pyr_{mito} , 5 ) * power( kM_R31_coa_{mito} , 5 ) * power( kM_R31_nad_{mito} , 5 ) / power( kM_R31_co2_{mito} , 5 ) / power( kM_R31_acoa_{mito} , 5 ) / power( kM_R31_nadh_{mito} , 5 ) / power( kM_R31_h_{mito} , 5 ) ) * power( pyr_{mito} / kM_R31_pyr_{mito} , 5 ) * power( coa_{mito} / kM_R31_coa_{mito} , 5 ) * power( nad_{mito} / kM_R31_nad_{mito} , 5 ) - kC_R31 / sqrt( kEQ_R31  * power( kM_R31_pyr_{mito} , 5 ) * power( kM_R31_coa_{mito} , 5 ) * power( kM_R31_nad_{mito} , 5 ) / power( kM_R31_co2_{mito} , 5 ) / power( kM_R31_acoa_{mito} , 5 ) / power( kM_R31_nadh_{mito} , 5 ) / power( kM_R31_h_{mito} , 5 ) ) * power( co2_{mito} / kM_R31_co2_{mito} , 5 ) * power( acoa_{mito} / kM_R31_acoa_{mito} , 5 ) * power( nadh_{mito} / kM_R31_nadh_{mito} , 5 ) * power( h_{mito} / kM_R31_h_{mito} , 5 ) ) / ( power( 1 + pyr_{mito} / kM_R31_pyr_{mito} , 5 ) * power( 1 + coa_{mito} / kM_R31_coa_{mito} , 5 ) * power( 1 + nad_{mito} / kM_R31_nad_{mito} , 5 ) + power( 1 + co2_{mito} / kM_R31_co2_{mito} , 5 ) * power( 1 + acoa_{mito} / kM_R31_acoa_{mito} , 5 ) * power( 1 + nadh_{mito} / kM_R31_nadh_{mito} , 5 ) * power( 1 + h_{mito} / kM_R31_h_{mito} , 5 ) - 1 )	
CS	5 oaa_{mito} + 5 acoa_{mito} + 5 h2o_{mito} <=> 5 cit_{mito} + 5 coa_{mito}	True	Common saturable (CM)	u_R32 * ( kC_R32 * sqrt( kEQ_R32  * power( kM_R32_oaa_{mito} , 5 ) * power( kM_R32_acoa_{mito} , 5 ) * power( kM_R32_h2o_{mito} , 5 ) / power( kM_R32_cit_{mito} , 5 ) / power( kM_R32_coa_{mito} , 5 ) ) * power( oaa_{mito} / kM_R32_oaa_{mito} , 5 ) * power( acoa_{mito} / kM_R32_acoa_{mito} , 5 ) * power( h2o_{mito} / kM_R32_h2o_{mito} , 5 ) - kC_R32 / sqrt( kEQ_R32  * power( kM_R32_oaa_{mito} , 5 ) * power( kM_R32_acoa_{mito} , 5 ) * power( kM_R32_h2o_{mito} , 5 ) / power( kM_R32_cit_{mito} , 5 ) / power( kM_R32_coa_{mito} , 5 ) ) * power( cit_{mito} / kM_R32_cit_{mito} , 5 ) * power( coa_{mito} / kM_R32_coa_{mito} , 5 ) ) / ( power( 1 + oaa_{mito} / kM_R32_oaa_{mito} , 5 ) * power( 1 + acoa_{mito} / kM_R32_acoa_{mito} , 5 ) * power( 1 + h2o_{mito} / kM_R32_h2o_{mito} , 5 ) + power( 1 + cit_{mito} / kM_R32_cit_{mito} , 5 ) * power( 1 + coa_{mito} / kM_R32_coa_{mito} , 5 ) - 1 )	
NDK_{mito}	5 atp_{mito} + 5 gdp_{mito} <=> 5 adp_{mito} + 5 gtp_{mito}	True	Common saturable (CM)	u_R33 * ( kC_R33 * sqrt( kEQ_R33  * power( kM_R33_atp_{mito} , 5 ) * power( kM_R33_gdp_{mito} , 5 ) / power( kM_R33_adp_{mito} , 5 ) / power( kM_R33_gtp_{mito} , 5 ) ) * power( atp_{mito} / kM_R33_atp_{mito} , 5 ) * power( gdp_{mito} / kM_R33_gdp_{mito} , 5 ) - kC_R33 / sqrt( kEQ_R33  * power( kM_R33_atp_{mito} , 5 ) * power( kM_R33_gdp_{mito} , 5 ) / power( kM_R33_adp_{mito} , 5 ) / power( kM_R33_gtp_{mito} , 5 ) ) * power( adp_{mito} / kM_R33_adp_{mito} , 5 ) * power( gtp_{mito} / kM_R33_gtp_{mito} , 5 ) ) / ( power( 1 + atp_{mito} / kM_R33_atp_{mito} , 5 ) * power( 1 + gdp_{mito} / kM_R33_gdp_{mito} , 5 ) + power( 1 + adp_{mito} / kM_R33_adp_{mito} , 5 ) * power( 1 + gtp_{mito} / kM_R33_gtp_{mito} , 5 ) - 1 )	
oaa_{flx}	 <=> 5 oaa_{mito}	True	Common saturable (CM)	u_R34 * ( kC_R34 * sqrt( kEQ_R34  / power( kM_R34_oaa_{mito} , 5 ) ) - kC_R34 / sqrt( kEQ_R34  / power( kM_R34_oaa_{mito} , 5 ) ) * power( oaa_{mito} / kM_R34_oaa_{mito} , 5 ) ) / (  + power( 1 + oaa_{mito} / kM_R34_oaa_{mito} , 5 ) - 1 )	
acoa_{flx}	5 acoa_{mito} <=> 	True	Common saturable (CM)	u_R35 * ( kC_R35 * sqrt( kEQ_R35  * power( kM_R35_acoa_{mito} , 5 ) ) * power( acoa_{mito} / kM_R35_acoa_{mito} , 5 ) - kC_R35 / sqrt( kEQ_R35  * power( kM_R35_acoa_{mito} , 5 ) ) ) / ( power( 1 + acoa_{mito} / kM_R35_acoa_{mito} , 5 ) +  - 1 )	
vcit_{flx}	5 cit_{mito} <=> 	True	Common saturable (CM)	u_R36 * ( kC_R36 * sqrt( kEQ_R36  * power( kM_R36_cit_{mito} , 5 ) ) * power( cit_{mito} / kM_R36_cit_{mito} , 5 ) - kC_R36 / sqrt( kEQ_R36  * power( kM_R36_cit_{mito} , 5 ) ) ) / ( power( 1 + cit_{mito} / kM_R36_cit_{mito} , 5 ) +  - 1 )	
%					
!!SBtab TableName='Compound' TableType='Compound' Document='Model' SBtabVersion='0.9'					
!ID	!IsConstant				
atp	True				
adp	True				
amp	True				
utp	False				
udp	False				
gtp	False				
gdp	False				
nad	True				
nadh	True				
p	True				
pp	False				
h2o	True				
co2	True				
h	True				
glc1p	False				
udpglc	False				
glyglc	True				
glc	False				
glc6p	False				
fru6p	False				
fru16bp	False				
fru26bp	False				
grap	False				
dhap	False				
bpg13	False				
pg3	False				
pg2	False				
pep	False				
pyr	False				
oaa	False				
lac	False				
glc_{ext}	True				
lac_{ext}	True				
co2_{mito}	True				
p_{mito}	True				
oaa_{mito}	False				
pep_{mito}	False				
acoa_{mito}	True				
pyr_{mito}	False				
cit_{mito}	True				
atp_{mito}	True				
adp_{mito}	True				
gtp_{mito}	False				
gdp_{mito}	False				
coa_{mito}	True				
nadh_{mito}	True				
nad_{mito}	True				
h_{mito}	True				
